#OTU ID	PHB3.MID46-48.P1.apr13_ncdenovo	S1HB3.MID102-102.P1.nov13_ncdenovo	S1HB3.MID109-109.P3.jan14_ncdenovo	S1HB3.MID96-96.P1.dec13_ncdenovo	S1HB3.MID110-110.P1.jan14_ncdenovo	S1HB3.MID110-110.P1.jan14_otuclust	S1HB3.MID96-96.P1.dec13_otuclust	S1HB3.MID102-102.P1.nov13_otuclust	S1HB3.MID109-109.P3.jan14_otuclust	PHB3.MID46-48.P1.apr13_otuclust	S1HB3.MID109-109.P3.jan14_ncref	S1HB3.MID96-96.P1.dec13_ncref	S1HB3.MID110-110.P1.jan14_ncref	S1HB3.MID102-102.P1.nov13_ncref	PHB3.MID46-48.P1.apr13_ncref	S1HB3.MID110-110.P1.jan14	S1HB3.MID109-109.P3.jan14	PHB3.MID46-48.P1.apr13	S1HB3.MID102-102.P1.nov13	S1HB3.MID96-96.P1.dec13
M00595:54:000000000-A7CT0:1:1111:13249:18910	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	2
M01896:2:000000000-A69JN:1:1110:11467:15766	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	13	7	3	31	4
M01896:2:000000000-A69JN:1:2104:24885:12428	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	8	0	12	0
M01896:14:000000000-A7ERE:1:2106:4191:12423	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	4	3	10	0
M01896:15:000000000-A7EN9:1:2110:17909:3228	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	2	4
M01896:15:000000000-A7EN9:1:2114:23811:11737	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
M01896:14:000000000-A7ERE:1:2118:9671:23989	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	1
M01896:15:000000000-A7EN9:1:1105:18225:10644	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0
M01896:14:000000000-A7ERE:1:2104:10876:2621	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1
M01896:14:000000000-A7ERE:1:2105:6888:14967	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	4	0
M00595:42:000000000-A5J1T:1:2110:20855:15915	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	7	6	3	39	7
M01896:2:000000000-A69JN:1:2103:25690:21493	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	12	5	0	21	4
M00595:54:000000000-A7CT0:1:1116:14334:4764	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	6	2	25	4
M01896:14:000000000-A7ERE:1:1102:8492:12586	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	5	2	19	8
M00595:54:000000000-A7CT0:1:1108:11656:15329	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	6	0	12	6
M01896:2:000000000-A69JN:1:1103:7924:6488	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0
M01896:2:000000000-A69JN:1:2114:15905:19619	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	2	0	10	1
M01896:2:000000000-A69JN:1:2102:22687:20047	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	12	2
M01896:2:000000000-A69JN:1:2107:10592:7890	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0
M01896:2:000000000-A69JN:1:2116:14433:7540	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	2	1	13	3
M01896:2:000000000-A69JN:1:1104:10571:13309	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	3	0	10	0
M01896:2:000000000-A69JN:1:2106:20214:16787	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2101:11473:15006	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1105:26902:11439	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2115:19680:21078	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	4	2	6	0
M01896:2:000000000-A69JN:1:2116:27716:17975	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1103:3191:8992	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
M01896:2:000000000-A69JN:1:2113:16093:14427	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	3	0
M01896:2:000000000-A69JN:1:2103:24062:3734	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2115:11754:14914	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0
M01896:2:000000000-A69JN:1:1107:22734:4817	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	8	3
M01896:2:000000000-A69JN:1:1110:4176:15338	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0
M01896:2:000000000-A69JN:1:2116:25161:8776	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2101:21256:12794	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	8	0
M01896:2:000000000-A69JN:1:1119:5635:9914	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	16	2	48	8
M01896:2:000000000-A69JN:1:1105:11398:18602	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	2
M01896:2:000000000-A69JN:1:1118:17383:12098	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	1
M01896:2:000000000-A69JN:1:1108:7437:22171	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0
M01896:2:000000000-A69JN:1:1113:4189:10209	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	1
M01896:2:000000000-A69JN:1:2119:7208:3933	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	2	3	17	0
M01896:2:000000000-A69JN:1:2119:3361:14260	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	15	3
M01896:2:000000000-A69JN:1:1113:18815:3720	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	6	0
M01896:2:000000000-A69JN:1:1101:19240:8113	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	4	1
M01896:2:000000000-A69JN:1:1117:8554:19707	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	4	1
M01896:2:000000000-A69JN:1:1115:6930:21719	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2108:10868:19583	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	2
M01896:2:000000000-A69JN:1:2111:4861:18512	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0
M01896:2:000000000-A69JN:1:2102:27616:13527	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	3	0	10	2
M01896:2:000000000-A69JN:1:1108:4585:18038	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:15:000000000-A7EN9:1:1105:4859:11991	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	11	3	12	4
M01896:2:000000000-A69JN:1:2103:9045:5264	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0
M01896:2:000000000-A69JN:1:1109:14040:19316	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	5	1
M01896:2:000000000-A69JN:1:2104:21644:5379	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0
M01896:2:000000000-A69JN:1:1116:15417:3566	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0
M01896:2:000000000-A69JN:1:1111:12513:16783	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	2
M01896:2:000000000-A69JN:1:1113:4834:19171	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0
M01896:2:000000000-A69JN:1:1107:6050:16886	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	8	2
M00595:42:000000000-A5J1T:1:1113:10043:22045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
M01896:2:000000000-A69JN:1:2112:6076:14261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	6	5
M01896:14:000000000-A7ERE:1:1106:4420:8006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
M00595:54:000000000-A7CT0:1:1107:19391:14143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	5	3
M01896:2:000000000-A69JN:1:2117:10249:18309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0
M01896:14:000000000-A7ERE:1:1103:7050:8632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	2	15	3
M01896:14:000000000-A7ERE:1:1104:23082:8328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	2	1
M01896:2:000000000-A69JN:1:1118:15263:15628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	15	3
M01896:15:000000000-A7EN9:1:1114:18504:23005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	4	1
M01896:2:000000000-A69JN:1:2112:15209:16436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	5	1
M01896:2:000000000-A69JN:1:1118:10124:13896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	1	7	2
M01896:14:000000000-A7ERE:1:1107:9192:24074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
M00595:42:000000000-A5J1T:1:2116:13776:15358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	1	9	0
M01896:2:000000000-A69JN:1:2116:11369:15335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	3	6	1
M01896:2:000000000-A69JN:1:2114:15211:2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	9	2
M01896:2:000000000-A69JN:1:2110:10713:7408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	16	3
M00595:54:000000000-A7CT0:1:1107:9449:5941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	3
