#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M00595:42:000000000-A5J1T:1:1110:24224:17487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	3	10	4	5
M00595:42:000000000-A5J1T:1:2118:14755:10792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	19	5	6
M01896:2:000000000-A69JN:1:1102:3964:20526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	9	1	5
M01896:2:000000000-A69JN:1:2109:19892:24135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	29	0	11
M01896:14:000000000-A7ERE:1:1101:19817:19321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	19	3	1
M01896:2:000000000-A69JN:1:2112:10480:8078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	3
M01896:2:000000000-A69JN:1:2108:14092:22107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	33	11	9
M00595:42:000000000-A5J1T:1:2109:18123:6214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	12	5	5
M00595:42:000000000-A5J1T:1:2114:21857:14897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2
M00595:42:000000000-A5J1T:1:1112:27029:14395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	51	7	14
M00595:42:000000000-A5J1T:1:1101:18506:11958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	2
M00595:42:000000000-A5J1T:1:1103:14979:16082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	2	0
M01896:2:000000000-A69JN:1:2103:4388:14773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	23	4	5
M01896:2:000000000-A69JN:1:2109:3646:8276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	11	0	3
M01896:14:000000000-A7ERE:1:1103:6517:21898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	11	0	3
M01896:2:000000000-A69JN:1:2113:21587:9388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	28	9	5
M00595:42:000000000-A5J1T:1:2114:26004:6628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	7	3
