#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M01896:2:000000000-A69JN:1:1113:8556:9092	0	0	0	0	0	1	0	0	0	9	0	0	18	15	5	8	0	0	0	2
M01896:15:000000000-A7EN9:1:1108:6018:4791	0	0	0	0	0	0	0	0	4	0	0	0	10	4	0	0	0	0	0	6
M01896:14:000000000-A7ERE:1:1103:28821:15755	0	0	0	0	0	0	0	0	4	0	0	0	1	8	4	5	0	0	0	0
M01896:15:000000000-A7EN9:1:1102:9860:18001	0	0	0	0	0	0	0	0	4	0	0	0	4	2	0	5	0	0	0	1
M01896:15:000000000-A7EN9:1:2118:20156:5781	0	0	0	0	0	0	0	0	9	7	2	0	14	31	12	19	0	0	0	5
M01896:14:000000000-A7ERE:1:2109:21385:9470	0	0	0	0	0	0	0	0	5	0	0	0	1	4	1	1	0	0	0	1
M01896:15:000000000-A7EN9:1:1118:16534:12954	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
M01896:15:000000000-A7EN9:1:2111:14044:12862	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	0	1
M01896:14:000000000-A7ERE:1:2105:12480:13473	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
M01896:14:000000000-A7ERE:1:2104:18630:24747	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0
M01896:15:000000000-A7EN9:1:2109:21907:23438	0	0	0	0	0	0	0	0	2	0	0	0	2	5	1	1	0	0	0	1
M01896:14:000000000-A7ERE:1:2104:11241:15815	0	0	0	0	0	0	0	0	2	0	0	0	4	6	3	2	0	0	0	0
M01896:15:000000000-A7EN9:1:1110:14678:21248	0	0	0	0	0	0	0	0	4	0	0	0	3	6	3	0	0	0	0	2
M01896:15:000000000-A7EN9:1:1104:9498:3739	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
M01896:14:000000000-A7ERE:1:2104:20538:9136	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
M01896:14:000000000-A7ERE:1:2113:22581:5902	0	0	0	0	0	0	0	0	2	0	0	0	3	6	3	2	0	0	0	4
M01896:14:000000000-A7ERE:1:2113:5004:17205	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0
M01896:15:000000000-A7EN9:1:2103:11666:14758	0	0	0	0	0	0	0	0	2	0	0	0	6	5	1	5	0	0	0	4
M01896:15:000000000-A7EN9:1:2102:9792:22475	0	0	0	0	0	0	0	0	2	0	0	0	2	7	2	4	0	0	0	2
M01896:2:000000000-A69JN:1:2115:16194:18727	0	0	0	0	0	0	0	0	0	6	0	0	2	1	2	0	0	0	0	2
M01896:15:000000000-A7EN9:1:2111:4926:17916	0	0	0	0	0	0	0	0	0	4	0	0	4	5	3	1	0	0	0	0
M01896:2:000000000-A69JN:1:1107:17922:2178	0	0	0	0	0	0	0	0	0	3	0	0	4	0	2	1	0	0	0	1
M01896:2:000000000-A69JN:1:2105:18212:5518	0	0	0	0	0	0	0	0	0	3	0	0	4	0	1	3	0	0	0	2
M01896:2:000000000-A69JN:1:1106:26441:10571	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1
M01896:2:000000000-A69JN:1:1114:6461:14133	0	0	0	0	0	0	0	0	0	2	2	0	4	4	2	0	0	0	0	0
M01896:2:000000000-A69JN:1:2102:5274:13338	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	1
M01896:2:000000000-A69JN:1:2108:25583:7767	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1105:4537:14118	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1110:23257:3530	0	0	0	0	0	0	0	0	0	4	0	0	5	3	0	1	0	0	0	1
M01896:2:000000000-A69JN:1:2103:10359:2790	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1
M01896:2:000000000-A69JN:1:2117:16256:20359	0	0	0	0	0	0	0	0	0	2	0	0	8	3	4	1	0	0	0	1
M01896:2:000000000-A69JN:1:1109:6980:9503	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:2118:24327:21047	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1106:24612:18984	0	0	0	0	0	0	0	0	0	2	0	0	4	7	3	3	0	0	0	4
M01896:2:000000000-A69JN:1:2117:19857:5597	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2119:23670:8671	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0
M01896:15:000000000-A7EN9:1:1103:18358:16368	0	0	0	0	0	0	0	0	0	2	0	0	4	3	1	1	0	0	0	0
M01896:2:000000000-A69JN:1:2116:17008:2747	0	0	0	0	0	0	0	0	0	2	0	0	3	2	3	0	0	0	0	1
M00595:42:000000000-A5J1T:1:2105:13317:16212	0	0	0	0	0	0	0	0	0	4	0	0	11	6	1	8	0	0	0	9
M01896:2:000000000-A69JN:1:2119:14328:17868	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0
M01896:2:000000000-A69JN:1:2102:22599:10106	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	2	0	0	0	0
M01896:2:000000000-A69JN:1:2104:7568:22111	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	1	0	0	0	0
M01896:2:000000000-A69JN:1:2102:5871:6712	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1108:13276:2767	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1118:10347:9865	0	0	0	0	0	0	0	0	0	2	0	0	4	3	2	1	0	0	0	1
M01896:2:000000000-A69JN:1:2118:25620:21332	0	0	0	0	0	0	0	0	0	2	0	0	6	5	5	2	0	0	0	0
M01896:2:000000000-A69JN:1:1115:15038:18744	0	0	0	0	0	0	0	0	0	2	0	0	3	2	5	1	0	0	0	0
M01896:2:000000000-A69JN:1:1111:12215:9175	0	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2117:18594:23613	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1112:16631:7556	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0
M00595:54:000000000-A7CT0:1:2111:18438:15135	0	0	0	0	0	0	0	0	0	0	3	0	1	1	3	0	0	0	0	0
M00595:54:000000000-A7CT0:1:1107:4743:11105	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0
M00595:54:000000000-A7CT0:1:2118:23125:5544	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
M00595:54:000000000-A7CT0:1:1106:23384:4494	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0
M00595:54:000000000-A7CT0:1:2104:24335:16300	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
M00595:54:000000000-A7CT0:1:2111:9909:16473	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1
M00595:54:000000000-A7CT0:1:2109:8559:12498	0	0	0	0	0	0	0	0	0	0	2	0	2	6	6	9	0	0	0	8
M00595:54:000000000-A7CT0:1:1103:19100:13896	0	0	0	0	0	0	0	0	0	0	0	4	1	6	4	2	0	0	0	2
